file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_void.java,SWIG.SWIGTYPE_p_void,class,4,0,0,12
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\PropagateX86ConstantReferences.java,PropagateX86ConstantReferences,class,22,1,0.5,197
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\MachO_Script.java,MachO_Script,class,1,0,0,7
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Decompiler\ghidra_scripts\classrecovery\RecoveredClass.java,classrecovery.RecoveredClass,class,133,3211,0.97450066,447
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBError.java,SWIG.SBError,class,26,0,0.5217391,80
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FunctionID\ghidra_scripts\FunctionIDHeadlessPostscript.java,FunctionIDHeadlessPostscript,class,4,0,0,20
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\SetHeadlessContinuationOptionScript.java,SetHeadlessContinuationOptionScript,class,2,0,0,9
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GByteProvider.java,mobiledevices.dmg.ghidra.GByteProvider,class,17,0,0.42307693,61
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\AssemblyThrasherDevScript.java,AssemblyThrasherDevScript,class,11,1,0.5,110
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_jbyte.java,SWIG.SWIGTYPE_p_jbyte,class,4,0,0,12
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeMapRecord.java,mobiledevices.dmg.btree.BTreeMapRecord,class,4,0,0,13
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\BytePatterns\ghidra_scripts\DumpFunctionBitPatternInfoForCurrentFunctionScript.java,DumpFunctionBitPatternInfoForCurrentFunctionScript,class,2,0,0,26
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\AddCommentToProgramScript.java,AddCommentToProgramScript,class,1,0,0,8
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\MultiInstructionMemReference.java,MultiInstructionMemReference,class,44,17,0.83928573,271
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\FindUndefinedFunctionsScript.java,FindUndefinedFunctionsScript,class,15,1,0,88
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\lldbJNI.java,SWIG.lldbJNI,class,2270,2575315,0,2272
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\FindDataTypeScript.java,FindDataTypeScript,class,9,1,0,44
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\Fix_ARM_Call_JumpsScript.java,Fix_ARM_Call_JumpsScript,class,42,3,0,164
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Processors\Atmel\ghidra_scripts\CreateAVR8GDTArchiveScript.java,CreateAVR8GDTArchiveScript,class,16,8,0.8,80
